Post ID,Post Date,Post Time,Post Type,Post Visibility,Message Length,People Reached (Lifetime),Organic Reach (Lifetime),Viral Reach (Lifetime),Fan Reach (Lifetime)
15408433177_10156119656428178,11918,10:10:59,link,Visible,269,27972,27972,1242,25440
15408433177_10156118248668178,11818,18:30:09,photo,Visible,1123,27623,27623,2753,24083
15408433177_10156117737453178,11818,13:30:02,link,Visible,236,69472,69472,15249,55112
15408433177_10156117473753178,11818,11:09:59,link,Visible,598,9572,9572,27,8675
15408433177_10156117150893178,11818,8:30:04,link,Visible,161,23392,23392,323,21933
15408433177_10156116050158178,11718,18:30:05,photo,Visible,1804,28202,28202,3094,24117
15408433177_10156115534113178,11718,14:00:06,link,Visible,159,45988,45988,5570,38904
15408433177_10156114860743178,11718,8:30:15,link,Visible,243,22620,22620,402,21251
15408433177_10156113931538178,11618,18:30:06,photo,Visible,1228,28538,28538,2491,24965
15408433177_10156113491258178,11618,14:32:05,link,Visible,175,10630,10630,426,9540
15408433177_10156112946928178,11618,10:30:13,link,Visible,108,31326,31326,4569,28315
15408433177_10156111682498178,11518,18:30:08,photo,Visible,936,31211,31211,3076,27484
15408433177_10156111409158178,11518,16:00:05,link,Visible,314,42819,42819,9594,32994
15408433177_10156110911113178,11518,13:00:11,link,Visible,240,43387,43387,2839,39445
15408433177_10156110614633178,11518,10:30:54,link,Visible,280,26765,26765,1180,24870
15408433177_10156109276933178,11418,18:30:06,photo,Visible,749,31158,31158,2807,28051
15408433177_10156109009868178,11418,16:00:05,status,Visible,327,34171,34171,2904,30787
15408433177_10156108700613178,11418,13:30:06,status,Visible,276,31453,31453,1440,29060
15408433177_10156108319533178,11418,10:30:05,status,Visible,287,25278,25278,353,23869
15408433177_10156106822788178,11318,18:30:06,photo,Visible,648,34186,34186,3269,30064
15408433177_10156106391403178,11318,14:30:06,status,Visible,254,21723,21723,393,20523
15408433177_10156106203548178,11318,13:00:10,photo,Visible,223,25673,25673,998,23624
15408433177_10156105877088178,11318,10:00:12,status,Visible,306,26204,26204,1182,24002
15408433177_10156104656328178,11218,18:30:07,photo,Visible,2222,24632,24632,2501,21519
15408433177_10156104290793178,11218,14:30:05,link,Visible,148,27396,27396,4827,23737
15408433177_10156104130358178,11218,13:00:08,photo,Visible,355,30932,30932,1659,28659
15408433177_10156103803148178,11218,9:30:07,link,Visible,151,22903,22903,816,21381
15408433177_10156102561313178,11118,18:30:06,photo,Visible,769,23446,23446,2937,19989
15408433177_10156102304668178,11118,16:00:09,photo,Visible,349,24778,24778,1295,22556
15408433177_10156102082683178,11118,14:00:07,link,Visible,283,31533,31533,2249,28735
15408433177_10156101337113178,11118,8:00:08,link,Visible,169,49671,49671,11523,39155
15408433177_10156100003543178,103118,18:30:06,photo,Visible,2721,26115,26115,3067,22214
15408433177_10156099576138178,103118,14:30:09,link,Visible,110,33587,33587,1749,30911
15408433177_10156099029703178,103118,10:00:07,link,Visible,223,43427,43427,8981,34967
15408433177_10156097567618178,103018,18:30:11,photo,Visible,2262,27832,27832,4560,22756
15408433177_10156097147328178,103018,15:00:13,link,Visible,93,28703,28703,1384,26180
15408433177_10156096853448178,103018,11:40:39,link,Visible,251,19151,19151,478,17914
15408433177_10156095304698178,102918,18:30:08,photo,Visible,1904,37017,37017,8898,27805
15408433177_10156093183683178,102818,18:30:05,photo,Visible,814,31496,31496,3720,26388
15408433177_10156092739958178,102818,14:30:05,link,Visible,132,33629,33629,632,31919
15408433177_10156091838143178,102818,8:30:05,link,Visible,136,28283,28283,1107,26138
15408433177_10156090575733178,102718,18:30:06,photo,Visible,1240,30274,30274,2792,26430
15408433177_10156089114778178,102718,8:30:06,photo,Visible,316,28488,28488,3081,24725
15408433177_10156087932243178,102618,18:30:08,photo,Visible,1310,25380,25380,3304,21204
15408433177_10156087518378178,102618,14:30:07,link,Visible,216,30902,30902,2181,27978
15408433177_10156085786273178,102518,18:30:10,photo,Visible,684,24308,24308,2514,21230
15408433177_10156085249393178,102518,14:00:10,link,Visible,125,29969,29969,1985,26840
15408433177_10156084537278178,102518,8:30:03,link,Visible,226,20453,20453,343,19273
15408433177_10156083374883178,102418,18:30:08,photo,Visible,1323,26426,26426,3572,22561
15408433177_10156081146163178,102318,18:30:08,photo,Visible,1103,28407,28407,2700,24875
15408433177_10156080688833178,102318,14:00:15,link,Visible,238,7557,7557,1108,6005
